Number of Samples,Accuracy
5,0.8583333333333332
10,0.9366666666666663
15,0.9633333333333332
20,0.9416666666666665
25,0.9416666666666665
30,0.9599999999999997
35,0.9749999999999998
40,0.9766666666666666
45,0.9816666666666666
50,0.9899999999999999
55,0.9916666666666666
60,0.9733333333333332
65,0.9633333333333332
70,0.9849999999999999
75,0.9866666666666667
80,0.9883333333333333
85,0.9883333333333332
90,0.9799999999999999
95,0.9816666666666666
100,0.99
105,0.9833333333333332
110,0.9866666666666665
115,0.9866666666666666
120,0.9916666666666666
125,0.9783333333333333
130,0.9883333333333333
135,0.9849999999999999
140,0.9816666666666667
145,0.9949999999999999
150,0.9899999999999999
155,0.9883333333333333
160,0.9883333333333333
165,0.9883333333333332
170,0.9816666666666664
175,0.9866666666666666
180,0.9849999999999999
