Number of Samples,Accuracy
5,0.9149999999999998
10,0.9366666666666664
15,0.9083333333333334
20,0.9233333333333335
25,0.9499999999999997
30,0.9533333333333333
35,0.98
40,0.9716666666666665
45,0.9716666666666665
50,0.9499999999999997
55,0.9749999999999996
60,0.9733333333333332
65,0.9866666666666665
70,0.9766666666666665
75,0.9816666666666666
80,0.9833333333333332
85,0.9833333333333331
90,0.9833333333333333
95,0.9783333333333333
100,0.9766666666666666
105,0.9849999999999999
110,0.9749999999999999
115,0.9766666666666665
120,0.973333333333333
125,0.98
130,0.9883333333333333
135,0.9766666666666666
140,0.9716666666666663
145,0.9833333333333332
150,0.9883333333333333
155,0.9783333333333332
160,0.9816666666666667
165,0.9833333333333333
170,0.9883333333333333
175,0.9916666666666667
180,0.9883333333333332
