Information Gain Threshold,Accuracy
1,0.9916666666666666
2,0.9949999999999999
3,0.9816666666666666
4,0.9816666666666666
5,0.9799999999999998
6,0.9849999999999998
7,0.9849999999999999
8,0.9916666666666666
9,0.99
10,0.9866666666666666
11,0.9849999999999999
12,0.9866666666666666
13,0.99
14,0.9916666666666666
15,0.99
16,0.99
17,0.9916666666666666
18,0.9816666666666667
19,0.9816666666666666
20,0.9933333333333333
21,0.9883333333333333
22,0.9966666666666666
23,0.9899999999999999
24,0.9883333333333333
25,1.0
26,0.9883333333333332
27,0.9849999999999999
28,0.9883333333333332
29,0.99
30,0.9883333333333333
